id,name,artists
442j8VxaB60dWf9cBFuX5w,Almost Is Never Enough,"['66CXWjxzNUsdJxJ2JdwvnR', '2Rf4X6m0oayCJhaJ5K63GQ']"
6AviHKu3ydzAePBmzEi62v,Popular Song,"['5MmVJVhhYKQ86izuGHzJYA', '66CXWjxzNUsdJxJ2JdwvnR']"
6Axf4FwBQvgcKzRwfm458N,For Good,"['46UMQ0cW8ToR8egkBRwAxZ', '66CXWjxzNUsdJxJ2JdwvnR']"
5eVdhOz7EDEQjseVGjm77t,For Good - Edit,"['46UMQ0cW8ToR8egkBRwAxZ', '66CXWjxzNUsdJxJ2JdwvnR']"
5ITSx4Ydu6URNx1FVanbhX,For Good - Live from the Gershwin Theatre,"['46UMQ0cW8ToR8egkBRwAxZ', '66CXWjxzNUsdJxJ2JdwvnR', '73Np75Wv2tju61Eo9Zw4IR', '3DgcBA7P0ji5co7Z1Gfp2Q']"
2rUVVZvEVlViD6KDxgZGLz,For Good - Sing-Along,"['46UMQ0cW8ToR8egkBRwAxZ', '66CXWjxzNUsdJxJ2JdwvnR']"
6GVSrGzoVDTHqb5n8hAIHU,supernatural - remix,"['66CXWjxzNUsdJxJ2JdwvnR', '3WGpXCj9YhhfX11TToZcXP']"
4qkPVF5w9mnpVKEb3izXjI,Hotel Rock Bottom (feat. Ariana Grande),"['31hoObE1mECmBt2P64uqLK', '66CXWjxzNUsdJxJ2JdwvnR']"
0MF0kprFLhr2KtqNjgN7bw,I Don't Know Why (I Just Do),"['7lbrnX0ng1Il12RdEU1Ohu', '66CXWjxzNUsdJxJ2JdwvnR']"
6xrTHtSg2SDBLilLxhbhof,Sympathy is a knife featuring ariana grande,"['25uiPmTg16RbhZWAqwLBy5', '66CXWjxzNUsdJxJ2JdwvnR']"
3X2alXBeUmnYSVXEfURMkR,"the boy is mine (with Brandy, Monica) – Remix","['66CXWjxzNUsdJxJ2JdwvnR', '05oH07COxkXKIMt6mIPRee', '6nzxy2wXs6tLgzEtqOkEi2']"
